;;;;;;;;;;;;;;;;;;;;;;;;
;PEDIDO DE MATERIAL MENSAL - /2025;;;;;;;;;;;;;;;;;;;;;;;
;"CLINICA: 
CNPJ: ";;;;;;;;;;;;;;;;;;;;;;;
;CODIGO_PRODUTO;DESCRICAO_PRODUTO;UNIDADE;MARCA;PEDIDO;ESTOQUE ;;;;;;;;;;;;;;;;;;
;137333;Cera Utilidade Triunfo 225g Vermelha;UNIDADE;TRIUNFO;;;;;;;;;;;;;;;;;;;;
;279207;Cimento Endodôntico Endofill Pó 12g;UNIDADE OU PECA;DENTSPLY SIRONA;;;;;;;;;;;;;;;;;;;;
;383942;Cimento Endodôntico MTA Fillapex 4g;UNIDADE OU PECA;ANGELUS;;;;;;;;;;;;;;;;;;;;
;279184;Cimento Endodôntico Obturador Sealer 26 Pó 8g + Resina 9g;UNIDADE OU PECA;DENTSPLY SIRONA;;;;;;;;;;;;;;;;;;;;
;538366;CIMENTO RESIN DUAL ALLCEM CORE - A1 CORP DUPL 6G FGM;UNIDADE OU PECA;FGM;;;;;;;;;;;;;;;;;;;;
;538373;CIMENTO RESIN DUAL ALLCEM CORE - A2 CORP DUPL 6G FGM;UNIDADE OU PECA;FGM;;;;;;;;;;;;;;;;;;;;
;538380;CIMENTO RESIN DUAL ALLCEM CORE - A3 CORP DUPL 6G FGM;UNIDADE OU PECA;FGM;;;;;;;;;;;;;;;;;;;;
;100564;CIMENTO RESIN DUAL FORCE A2 - CORP DUPL 5G MAQUIRA;UNIDADE OU PECA;MAQUIRA;;;;;;;;;;;;;;;;;;;;
;240269;Cimento Forrador de Hidróxido de Cálcio Hydcal - Maquira;UNIDADE OU PECA;MAQUIRA;;;;;;;;;;;;;;;;;;;;
;315356;CLAREAD WHITENESS HP 35% 3PAC - C/TOP DAM FGM;UNIDADE OU PECA;FGM;;;;;;;;;;;;;;;;;;;;
;105145;CLAREAD WHITENESS SIMPLE 22% - 10SER 3G FGM;UNIDADE OU PECA;FGM;;;;;;;;;;;;;;;;;;;;
;546415;CLOREXIDINA CLOREXORAL GEL 2% 3G 2 SERINGAS;UNIDADE OU PECA;BIODINÂMICA;;;;;;;;;;;;;;;;;;;;
;213607;Coletor de Materiais Perfurocortantes 3L 1unid.;UNIDADE OU PECA;DESCARPACK;;;;;;;;;;;;;;;;;;;;
;510454;COLGADURA INDIVIDUAL - TECNODENT;UNIDADE OU PECA;TECNODENT;;;;;;;;;;;;;;;;;;;;
;100545;Compressa de Gaze 9 Fios 7,5x7,5cm 500unid.;UNIDADE OU PECA;ULTRACOTTON;;;;;;;;;;;;;;;;;;;;
;384994;COND ACIDO FLUORIDRICO PORCEL - ACIDO GEL 10% 2,5ML MAQUIRA;UNIDADE OU PECA;MAQUIRA;;;;;;;;;;;;;;;;;;;;
